Business,0.027842227378190254
Java,0.22273781902552203
.NET,0.002320185614849188
Open Source,0.004640371229698376
Microsoft,0.018561484918793503
Theory,0.016241299303944315
S,0.002320185614849188
Software Engineering,0.037122969837587005
Mobile,0.002320185614849188
Programming,0.027842227378190254
Internet,0.0951276102088167
Object-Technology Programming,0.002320185614849188
XML,0.009280742459396751
Next Generation Databases,0.002320185614849188
Python,0.013921113689095127
SOA,0.002320185614849188
Computer Graph,0.002320185614849188
Microsoft/.NET,0.002320185614849188
P,0.002320185614849188
Client Server,0.002320185614849188
Networking,0.016241299303944315
Client-Server,0.025522041763341066
Mobile Technology,0.013921113689095127
PHP,0.002320185614849188
Miscella,0.002320185614849188
Miscellaneous,0.004640371229698376
In Action,0.002320185614849188
PowerBuilder,0.016241299303944315
Web Development,0.03944315545243619
Microsoft .NET,0.07888631090487239
Computer Graphics,0.013921113689095127
java,0.002320185614849188
internet,0.002320185614849188
Software Development,0.002320185614849188
Algorithmic Art,0.002320185614849188
Perl,0.013921113689095127
Object-Oriented Programming,0.009280742459396751
